"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2019', 'Quantity')","('May 2019', 'CIF (Baht)')","('Jan - May 2019', 'Quantity')","('Jan - May 2019', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,14848,919700
BE,BELGIUM,173250,7207696,698625,28686085
BR,BRAZIL,0,0,425,54004
CA,CANADA,0,0,100050,3233947
CN,CHINA,74000,5952696,498025,32509942
FR,FRANCE,0,0,22000,1735056
ID,INDONESIA,54750,2920559,326175,20162556
IL,ISRAEL,0,0,10111,911842
JP,JAPAN,111270,7226444,2278397,115555782
KR,"KOREA,REPUBLIC OF",28000,1291225,213050,8243973
KW,KUWAIT,544500,17686576,1163250,37544502
MY,MALAYSIA,112000,4114515,395500,14255932
NL,NETHERLANDS,20000,833115,80000,3373244
QA,QATAR,357000,11824653,1555500,50451093
SA,SAUDI ARABIA,3173850,107459399,15780150,535998528
SG,SINGAPORE,525450,20498312,3240225,121095939
ZA,SOUTH AFRICA,321750,10573927,321750,10573927
ES,SPAIN,0,0,148500,5300780
TW,"TAIWAN, PROVINCE OF CHINA",0,0,10,2432
AE,UNITED ARAB EMIRATES,965250,34575210,3832750,136998233
US,UNITED STATES,668244,22763786,2275125,85778296
VN,VIETNAM,0,0,50,1338
SUM,SUM,7129314,254928113,32954516,1213387131
