"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2019', 'Quantity')","('Sept 2019', 'CIF (Baht)')","('Jan - Sept 2019', 'Quantity')","('Jan - Sept 2019', 'CIF (Baht)')"
AR,ARGENTINA,150,31477,150,31477
AT,AUSTRIA,0,0,18000,1778404
BE,BELGIUM,74250,5068176,788750,64959316
BR,BRAZIL,0,0,50,40144
CA,CANADA,20980,984052,33880,4624729
CN,CHINA,973478,35468369,7520505,267102922
CZ,CZECH REPUBLIC,108,26204,208,38500
FI,FINLAND,0,0,50,5414
FR,FRANCE,0,0,635,171301
DE,GERMANY,70850,4402961,271428,19408547
HK,HONG KONG,20956,3703461,183635,5516971
IN,INDIA,2100,390202,10700,1916649
ID,INDONESIA,0,0,1,131
IL,ISRAEL,0,0,20,17567
IT,ITALY,3,7754,39924,3064942
JP,JAPAN,381553,41850885,3412856,309782629
KR,"KOREA,REPUBLIC OF",512350,28284784,4311582,243460925
LU,LUXEMBOURG,0,0,12500,854475
MY,MALAYSIA,199408,7275157,475026,20472950
NL,NETHERLANDS,4020,391958,24141,2936688
NO,NORWAY,0,0,1,860
PH,PHILIPPINES,0,0,25007,235271
QA,QATAR,51000,1517980,179520,5642849
SA,SAUDI ARABIA,25,8104,314345,10595589
SG,SINGAPORE,1921095,71619375,16681404,663251713
ES,SPAIN,0,0,50650,5410454
SE,SWEDEN,0,0,80000,5689332
CH,SWITZERLAND,0,0,150,10607
TW,"TAIWAN, PROVINCE OF CHINA",9050,1203691,86167,6426655
TH,THAILAND,8800,743884,1519010,31783641
TR,TÜRKIYE,0,0,50750,1507039
UA,UKRAINE,0,0,10,2752
AE,UNITED ARAB EMIRATES,171750,6274457,962175,38117282
GB,UNITED KINGDOM,3000,854485,61579,4861742
US,UNITED STATES,2445785,79282175,10714516,620567149
VN,VIETNAM,110000,5424238,728280,33925106
SUM,SUM,6980711,294813829,48557605,2374212722
