"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2022', 'Quantity')","('May 2022', 'CIF (Baht)')","('Jan - May 2022', 'Quantity')","('Jan - May 2022', 'CIF (Baht)')"
CA,CANADA,50000,2480709,150000,6633535
CN,CHINA,60000,2798266,281250,15699988
DE,GERMANY,3000,662471,4500,1188034
JP,JAPAN,72100,6211710,190150,19610815
KR,"KOREA,REPUBLIC OF",45000,4350484,2059550,191088718
LA,LAO PDR,20000,474907,20000,474907
NL,NETHERLANDS,11000,765477,305500,20155168
QA,QATAR,0,0,127500,6315465
SA,SAUDI ARABIA,380400,19751313,1332050,63429209
SG,SINGAPORE,1927300,124284849,8195895,508563435
ES,SPAIN,56250,6449153,188250,19761314
AE,UNITED ARAB EMIRATES,519750,28153528,2628025,128226608
US,UNITED STATES,1090926,57801495,3381341,182647633
VN,VIETNAM,0,0,300,50466
SUM,SUM,4235726,254184362,18864311,1163845295
