"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2017', 'Quantity')","('Oct 2017', 'CIF (Baht)')","('Jan - Oct 2017', 'Quantity')","('Jan - Oct 2017', 'CIF (Baht)')"
BD,BANGLADESH,0,0,250,32127
BE,BELGIUM,209325,10892932,1307917,79787063
CA,CANADA,0,0,175720,11218158
CN,CHINA,169875,10076950,983047,56664942
DE,GERMANY,0,0,23767,2233008
HK,HONG KONG,0,0,9,1875
IN,INDIA,25,22029,4085,716945
IT,ITALY,0,0,76111,9564756
JP,JAPAN,158290,9503092,1408754,98260573
KR,"KOREA,REPUBLIC OF",755363,38748331,4500759,237804378
LA,LAO PDR,0,0,4,11613
MY,MALAYSIA,25700,1569833,1054876,49026195
MX,MEXICO,0,0,6577,1212883
SA,SAUDI ARABIA,272250,11707362,1683000,78002622
SG,SINGAPORE,1600,248991,146055,6792098
TW,"TAIWAN, PROVINCE OF CHINA",178280,9459359,1292994,75922260
GB,UNITED KINGDOM,0,0,6918,1494190
US,UNITED STATES,39648,2463822,935093,54109949
VN,VIETNAM,21200,1161793,281100,5659358
SUM,SUM,1831556,95854494,13887036,768514993
