"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2018', 'Quantity')","('Oct 2018', 'CIF (Baht)')","('Jan - Oct 2018', 'Quantity')","('Jan - Oct 2018', 'CIF (Baht)')"
BE,BELGIUM,0,0,140,23067
BR,BRAZIL,0,0,27,16784
CN,CHINA,0,0,4824,408231
FR,FRANCE,1000,211270,11000,2532261
DE,GERMANY,0,0,31,9680
IN,INDIA,100,8426,112151,2571741
IL,ISRAEL,24000,1679595,84000,5831731
IT,ITALY,0,0,21250,1509953
JP,JAPAN,15754,1750286,215216,31121588
KR,"KOREA,REPUBLIC OF",136200,9846080,930075,54831140
MY,MALAYSIA,0,0,2517,273846
NO,NORWAY,0,0,13,3285
QA,QATAR,17000,669856,136000,5531884
SG,SINGAPORE,572,195524,681,203939
SK,SLOVAKIA,0,0,100,30222
TW,"TAIWAN, PROVINCE OF CHINA",0,0,1009,41985
GB,UNITED KINGDOM,428,116151,1703,470611
US,UNITED STATES,0,0,25,14766
SUM,SUM,195054,14477188,1520762,105426714
