"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2013', 'Quantity')","('Jun 2013', 'CIF (Baht)')","('Jan - Jun 2013', 'Quantity')","('Jan - Jun 2013', 'CIF (Baht)')"
AU,AUSTRALIA,99025,4146868,103483,4862587
AT,AUSTRIA,0,0,3,2512
BE,BELGIUM,36000,2153828,580725,37686294
CN,CHINA,815133,58607957,6588229,426565817
FI,FINLAND,0,0,89375,5658163
FR,FRANCE,247250,14892725,502947,29691256
DE,GERMANY,25965,1414796,173210,26761134
HK,HONG KONG,0,0,16864,986804
IN,INDIA,120,13605,25450,1407509
ID,INDONESIA,9875,1209607,83404,11300330
IL,ISRAEL,0,0,17500,1695506
IT,ITALY,0,0,800,100607
JP,JAPAN,536880,49927287,5826736,466760721
KP,KOREA DPR,0,0,48000,2572900
KR,"KOREA,REPUBLIC OF",1739105,98246797,14884966,826552237
KW,KUWAIT,0,0,49500,2107363
MY,MALAYSIA,69790,9820187,615698,75001273
MX,MEXICO,0,0,45,14428
NL,NETHERLANDS,99300,8408096,514300,43440888
NZ,NEW ZEALAND,0,0,8750,564857
PT,PORTUGAL,0,0,1200,90980
SA,SAUDI ARABIA,3111330,133709312,21949720,975290260
SG,SINGAPORE,1182680,62436360,8781109,463587660
ES,SPAIN,11000,1168203,57750,6323505
CH,SWITZERLAND,0,0,101,474851
TW,"TAIWAN, PROVINCE OF CHINA",106900,7037344,1157065,59567610
TH,THAILAND,0,0,162,26609
TR,TÜRKIYE,25,10295,25,10295
AE,UNITED ARAB EMIRATES,93300,4060057,487130,21549689
GB,UNITED KINGDOM,100,24059,600,96215
US,UNITED STATES,68102,4747580,1755911,94682416
VN,VIETNAM,5335,679978,10609,2034448
SUM,SUM,8257215,462714941,64331367,3587467724
