"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2014', 'Quantity')","('Feb 2014', 'CIF (Baht)')","('Jan - Feb 2014', 'Quantity')","('Jan - Feb 2014', 'CIF (Baht)')"
BE,BELGIUM,24750,1568145,24750,1568145
CN,CHINA,40050,3753667,65650,6552541
DK,DENMARK,0,1128,0,1128
FI,FINLAND,99000,6631948,222525,14626122
DE,GERMANY,106504,9232760,258387,23251019
IN,INDIA,5000,263997,54500,2833833
ID,INDONESIA,3425,1275627,3925,1326464
IT,ITALY,60,60304,60,60304
JP,JAPAN,364201,29372021,674086,58690762
KR,"KOREA,REPUBLIC OF",161200,9171029,441200,26653273
KW,KUWAIT,396000,20189873,792000,40005085
MY,MALAYSIA,2360868,137904198,5877238,334174591
NL,NETHERLANDS,249020,19387801,324645,26190539
NZ,NEW ZEALAND,32000,852857,64000,1717991
QA,QATAR,1096500,60041840,1606500,87457140
SA,SAUDI ARABIA,2417000,130967869,5069650,271550734
SG,SINGAPORE,1938604,114531242,4146461,240474387
ES,SPAIN,226000,26105480,370000,41938541
CH,SWITZERLAND,0,0,505,128423
TW,"TAIWAN, PROVINCE OF CHINA",52,11816,17102,1175032
GB,UNITED KINGDOM,0,0,40000,2666930
US,UNITED STATES,428055,28577162,723396,49205771
VN,VIETNAM,3000,420746,6000,837052
SUM,SUM,9951289,600321510,20782580,1233085807
