"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2018', 'Quantity')","('Feb 2018', 'CIF (Baht)')","('Jan - Feb 2018', 'Quantity')","('Jan - Feb 2018', 'CIF (Baht)')"
CN,CHINA,3000,280004,9000,854876
DE,GERMANY,0,0,4125,515771
JP,JAPAN,7000,530089,12000,918773
NL,NETHERLANDS,78375,3829422,127875,6222262
SA,SAUDI ARABIA,148500,5929551,247500,10052171
SG,SINGAPORE,561000,35541233,1269000,81687324
ES,SPAIN,40000,1934540,40000,1934540
AE,UNITED ARAB EMIRATES,159675,6539137,357675,14755740
GB,UNITED KINGDOM,0,0,25,14852
US,UNITED STATES,30200,1915546,30228,1933646
SUM,SUM,1027750,56499522,2097428,118889955
