"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2017', 'Quantity')","('Sept 2017', 'CIF (Baht)')","('Jan - Sept 2017', 'Quantity')","('Jan - Sept 2017', 'CIF (Baht)')"
AU,AUSTRALIA,500,134411,1300,363872
AT,AUSTRIA,80,139302,1458,1854942
BE,BELGIUM,24750,1320201,68150,5732922
BR,BRAZIL,764,278559,2483,902416
CA,CANADA,13,138439,10225,3678604
CN,CHINA,125660,5607886,1188542,59074144
FR,FRANCE,40186,2256286,333168,22859552
DE,GERMANY,18803,4921537,53470,14670217
IN,INDIA,17000,1206028,209020,12759530
ID,INDONESIA,22500,1955994,69892,6402914
IR,IRAN (ISLAMIC REPUBLIC OF),46,13011,46,13011
IT,ITALY,706,100584,5719,756417
JP,JAPAN,303619,39155889,2314581,332469559
KR,"KOREA,REPUBLIC OF",324200,16396758,2044647,114213378
LU,LUXEMBOURG,0,0,20,13769
MY,MALAYSIA,173464,14355728,1463000,126365083
NL,NETHERLANDS,160000,14379253,866147,77140580
NZ,NEW ZEALAND,50,42832,320,251141
NO,NORWAY,0,0,202,104009
PH,PHILIPPINES,0,0,25,31279
SA,SAUDI ARABIA,148500,5728699,4516800,173187979
SG,SINGAPORE,50631,3617754,569061,63901304
ZA,SOUTH AFRICA,0,0,297000,11389329
ES,SPAIN,0,0,53410,4730929
CH,SWITZERLAND,0,0,1600,1235131
TW,"TAIWAN, PROVINCE OF CHINA",10870,1560328,910756,47249401
GB,UNITED KINGDOM,550,102143,39493,5093971
US,UNITED STATES,150640,25082007,1491785,264373350
VN,VIETNAM,10000,792762,81021,6676264
SUM,SUM,1583532,139286391,16593341,1357494997
