"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2014', 'Quantity')","('Dec 2014', 'CIF (Baht)')","('Jan - Dec 2014', 'Quantity')","('Jan - Dec 2014', 'CIF (Baht)')"
BR,BRAZIL,0,0,77,40185
KH,CAMBODIA,0,0,14,1400
CN,CHINA,0,0,1832,232872
ID,INDONESIA,0,0,120,799
JP,JAPAN,5180,699817,21767,3156102
KR,"KOREA,REPUBLIC OF",0,0,0,8876
SA,SAUDI ARABIA,131000,6878826,632500,33459508
ES,SPAIN,0,0,272250,14592274
TW,"TAIWAN, PROVINCE OF CHINA",0,0,428,345271
SUM,SUM,136180,7578643,928988,51837287
