"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2017', 'Quantity')","('Nov 2017', 'CIF (Baht)')","('Jan - Nov 2017', 'Quantity')","('Jan - Nov 2017', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,52108,3075120
AT,AUSTRIA,120,121191,4115,965924
BE,BELGIUM,108000,5721478,2184699,109063634
CA,CANADA,0,0,502,259961
CN,CHINA,1579248,84695841,20125757,990614660
EG,EGYPT,0,0,50,18964
FI,FINLAND,0,0,233750,14260181
FR,FRANCE,0,0,32250,1130923
DE,GERMANY,9419,2533342,111331,27554157
HK,HONG KONG,126,20843,25203,1084077
HU,HUNGARY,0,0,50,20767
IN,INDIA,124550,3083610,2983283,104699963
ID,INDONESIA,34081,4371543,322251,34676588
IR,IRAN (ISLAMIC REPUBLIC OF),0,0,750,71696
IL,ISRAEL,0,0,151000,10618520
IT,ITALY,363,178495,67994,7021740
JP,JAPAN,892132,73286067,9304513,644781606
KE,KENYA,0,0,70000,3554662
KR,"KOREA,REPUBLIC OF",3106219,142584942,25960354,1212972055
MY,MALAYSIA,123409,16599133,1188987,116092166
MX,MEXICO,0,0,1727,425533
NL,NETHERLANDS,148500,13252572,752200,68952183
NZ,NEW ZEALAND,550,551876,2740,2931501
RO,ROMANIA,0,0,24,10374
RU,RUSSIAN FEDERATION,0,0,180,91460
SA,SAUDI ARABIA,3172570,127676222,42999505,1667508096
SG,SINGAPORE,1083442,59560907,15542234,770463337
SK,SLOVAKIA,0,0,19400,1201402
ZA,SOUTH AFRICA,0,0,272250,10359936
ES,SPAIN,11000,947412,49500,4357791
CH,SWITZERLAND,0,0,20,6165
TW,"TAIWAN, PROVINCE OF CHINA",90250,4332125,850436,44714046
TH,THAILAND,23000,1108308,211200,11326341
TR,TÜRKIYE,0,0,910,125654
UA,UKRAINE,0,0,47050,1961097
AE,UNITED ARAB EMIRATES,198000,7986157,3119125,123412102
GB,UNITED KINGDOM,2400,127070,2700,163955
US,UNITED STATES,32286,2610157,889799,65240370
VN,VIETNAM,86497,3732036,1176745,52126233
SUM,SUM,10826162,555081327,128756692,6107914940
