"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2012', 'Quantity')","('Feb 2012', 'CIF (Baht)')","('Jan - Feb 2012', 'Quantity')","('Jan - Feb 2012', 'CIF (Baht)')"
BE,BELGIUM,302360,17789154,601945,34830174
CN,CHINA,42750,3462672,105750,5987546
FR,FRANCE,32125,2559932,36250,3052641
DE,GERMANY,227250,16002240,267750,18825709
IN,INDIA,307000,13123386,307000,13123386
ID,INDONESIA,45200,2119371,292700,13016021
JP,JAPAN,1468133,96178150,2644994,172554918
KW,KUWAIT,123750,5105866,544500,22291039
MY,MALAYSIA,406000,18877875,511000,23333473
NL,NETHERLANDS,600,194797,1200,384376
QA,QATAR,2113548,93190806,5080720,223322476
SA,SAUDI ARABIA,2202750,93620459,3341250,141481497
SG,SINGAPORE,3085830,137052560,5204210,228246104
TW,"TAIWAN, PROVINCE OF CHINA",1500,201949,1500,201949
AE,UNITED ARAB EMIRATES,2169774,89823030,5242425,215438741
US,UNITED STATES,0,0,54600,3172989
SUM,SUM,12528570,589302247,24237794,1119263039
