"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2020', 'Quantity')","('Jun 2020', 'CIF (Baht)')","('Jan - Jun 2020', 'Quantity')","('Jan - Jun 2020', 'CIF (Baht)')"
CN,CHINA,35000,2833624,108987,8681124
IT,ITALY,0,0,450,45005
JP,JAPAN,0,0,33,84025
KR,"KOREA,REPUBLIC OF",99850,5317252,895650,53370124
MY,MALAYSIA,35000,2651570,35000,2651570
QA,QATAR,0,0,34000,969360
SG,SINGAPORE,0,0,27975,6528239
TW,"TAIWAN, PROVINCE OF CHINA",0,0,27,7946
US,UNITED STATES,20956,2424116,71123,7975814
VN,VIETNAM,0,0,1560,107696
SUM,SUM,190806,13226562,1174805,80420903
