"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2019', 'Quantity')","('May 2019', 'CIF (Baht)')","('Jan - May 2019', 'Quantity')","('Jan - May 2019', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,90,130261
AT,AUSTRIA,0,0,10,11099
BE,BELGIUM,29275,1796117,60869,3819922
BR,BRAZIL,1361250,70708684,3623150,174860129
CA,CANADA,66530,613482,107690,939689
CN,CHINA,69261,4205953,687187,33884126
CZ,CZECH REPUBLIC,1,367,86,28620
DK,DENMARK,0,0,300,73118
FI,FINLAND,74250,4025018,321750,18095171
FR,FRANCE,22000,1584109,22000,1584109
DE,GERMANY,460330,30957379,1755023,120847053
HK,HONG KONG,18226,40887,18226,40887
IN,INDIA,0,0,1050,91807
ID,INDONESIA,2512,849888,11462,3498695
IL,ISRAEL,0,0,19600,1620226
IT,ITALY,4425,1140332,68110,5690635
JP,JAPAN,291200,21059860,1025367,84053873
KR,"KOREA,REPUBLIC OF",198025,9759718,1467329,75734574
KW,KUWAIT,470250,15658929,2004750,66378328
LU,LUXEMBOURG,13700,1582533,47850,5933355
MY,MALAYSIA,5018904,178676660,28393130,1006922917
NL,NETHERLANDS,171740,10506771,1409607,87762774
NO,NORWAY,76210,4238727,228970,12774405
QA,QATAR,790500,26335926,5023525,167762432
RU,RUSSIAN FEDERATION,1,1165,1,1165
SA,SAUDI ARABIA,3773700,129468485,18448225,633443903
SG,SINGAPORE,2381420,90801749,10502499,400833425
CH,SWITZERLAND,0,0,1480,261620
TW,"TAIWAN, PROVINCE OF CHINA",10,3832,13560,1368487
TH,THAILAND,0,0,130000,4841164
AE,UNITED ARAB EMIRATES,99000,3599553,555500,19272995
GB,UNITED KINGDOM,0,0,10001,1272154
US,UNITED STATES,306079,15402559,1345673,59498962
VN,VIETNAM,900,23272,21648,1767677
SUM,SUM,15699699,623041955,77325718,2995099757
