"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2017', 'Quantity')","('Sept 2017', 'CIF (Baht)')","('Jan - Sept 2017', 'Quantity')","('Jan - Sept 2017', 'CIF (Baht)')"
AU,AUSTRALIA,20,7562,10030,1218415
AT,AUSTRIA,0,0,337500,18892769
BE,BELGIUM,49500,2449506,178400,9054527
CA,CANADA,0,0,4000,724051
CN,CHINA,48102,4455198,543062,62067201
FR,FRANCE,123850,6399920,862820,42433579
DE,GERMANY,21736,3294816,94523,12302019
HK,HONG KONG,1000,113259,2000,235815
IN,INDIA,24,4776,5753,614545
ID,INDONESIA,10500,1129492,181421,19442365
IT,ITALY,50,29022,351,62292
JP,JAPAN,918756,62912636,7616497,519532823
KR,"KOREA,REPUBLIC OF",450800,19936989,3112437,153751567
MY,MALAYSIA,0,363,203800,9469604
MX,MEXICO,0,0,810,504339
NL,NETHERLANDS,184250,12231898,903375,59770587
NG,NIGERIA,0,0,50,21810
PH,PHILIPPINES,0,0,27,10003
SA,SAUDI ARABIA,173250,6844467,1287000,51101884
SG,SINGAPORE,4892520,218025987,45921098,2100912909
ZA,SOUTH AFRICA,0,0,74250,2752999
ES,SPAIN,24750,2139718,159550,14566700
SE,SWEDEN,36,43736,90,112291
CH,SWITZERLAND,0,0,1250,236622
TW,"TAIWAN, PROVINCE OF CHINA",127100,5888362,1497247,72053721
TH,THAILAND,0,0,6369,321716
AE,UNITED ARAB EMIRATES,315525,12597925,3983550,163696472
GB,UNITED KINGDOM,0,0,2065,809152
US,UNITED STATES,2462,730360,445347,37568969
VN,VIETNAM,0,0,36,7756
SUM,SUM,7344231,359235992,67434708,3354249502
