"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2019', 'Quantity')","('Jun 2019', 'CIF (Baht)')","('Jan - Jun 2019', 'Quantity')","('Jan - Jun 2019', 'CIF (Baht)')"
CN,CHINA,4450,181952,48450,3126216
JP,JAPAN,13000,1110274,85850,5853103
KR,"KOREA,REPUBLIC OF",100,39985,150,47491
NL,NETHERLANDS,0,0,262000,11659709
SA,SAUDI ARABIA,0,0,495000,17941862
SG,SINGAPORE,1435510,69999074,10091620,467578468
ES,SPAIN,183170,9734792,425420,24338907
AE,UNITED ARAB EMIRATES,345125,12227086,1728775,62598577
US,UNITED STATES,125840,4928199,402640,23582651
SUM,SUM,2107195,98221362,13539905,616726984
