"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2012', 'Quantity')","('Feb 2012', 'CIF (Baht)')","('Jan - Feb 2012', 'Quantity')","('Jan - Feb 2012', 'CIF (Baht)')"
AT,AUSTRIA,2,12350,2,12350
BE,BELGIUM,0,0,11025,1050008
CA,CANADA,17000,1634829,17000,1634829
CN,CHINA,29000,2074401,63656,3914991
DE,GERMANY,21003,1812757,42028,3588798
ID,INDONESIA,2200,120095,7200,335409
IT,ITALY,13375,1730878,13375,1730878
JP,JAPAN,294387,19936460,377790,28399580
KR,"KOREA,REPUBLIC OF",427950,26027362,980592,58379508
MY,MALAYSIA,236460,10144748,390241,16503455
SG,SINGAPORE,45000,2394638,45000,2394638
SE,SWEDEN,48,20108,48,20108
CH,SWITZERLAND,0,0,10000,1164400
TW,"TAIWAN, PROVINCE OF CHINA",18000,1256828,176000,11577469
GB,UNITED KINGDOM,4300,765968,6300,1139968
US,UNITED STATES,114828,13457708,158752,19475019
VN,VIETNAM,2000,251141,81470,1354369
SUM,SUM,1225553,81640271,2380479,152675777
