"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2016', 'Quantity')","('Sept 2016', 'CIF (Baht)')","('Jan - Sept 2016', 'Quantity')","('Jan - Sept 2016', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,400,110614
AT,AUSTRIA,440,593116,1521,2017080
BD,BANGLADESH,54,17928,54,17928
BE,BELGIUM,2510,344522,203572,29794099
BR,BRAZIL,0,0,21,17344
CA,CANADA,0,0,2549,859064
CN,CHINA,65665,4798529,1060962,52580882
CZ,CZECH REPUBLIC,0,0,91,9765
ER,ERITREA,0,0,540,261893
FR,FRANCE,41960,2504158,362289,32316719
DE,GERMANY,1024,523039,74789,20739848
HK,HONG KONG,0,0,78,13756
IN,INDIA,56071,1054276,269474,6406165
ID,INDONESIA,0,0,67567,6168082
IL,ISRAEL,0,0,2400,375552
IT,ITALY,850,126283,9636,1378684
JP,JAPAN,240541,45562697,2100999,321846489
KR,"KOREA,REPUBLIC OF",295583,13816329,2935741,171261593
LU,LUXEMBOURG,0,0,3,4719
MY,MALAYSIA,170200,11982860,1402622,98165437
MX,MEXICO,0,0,75,72408
NL,NETHERLANDS,140000,12611251,1230145,121514381
NZ,NEW ZEALAND,0,0,223,180352
PH,PHILIPPINES,0,0,76,22298
SA,SAUDI ARABIA,80075,2940055,3570180,130889017
SG,SINGAPORE,22800,3128691,864574,100888239
ES,SPAIN,5500,488102,47343,4367577
CH,SWITZERLAND,0,0,2075,1567126
TW,"TAIWAN, PROVINCE OF CHINA",32642,3646361,218372,19679690
TH,THAILAND,0,0,15360,473965
AE,UNITED ARAB EMIRATES,0,0,470250,17057992
GB,UNITED KINGDOM,11890,1379080,69230,9415763
US,UNITED STATES,213961,33920394,964009,159353485
VN,VIETNAM,0,0,189920,11271499
SUM,SUM,1381766,139437671,16137140,1321099505
