"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2019', 'Quantity')","('Dec 2019', 'CIF (Baht)')","('Jan - Dec 2019', 'Quantity')","('Jan - Dec 2019', 'CIF (Baht)')"
AU,AUSTRALIA,28,25335,32821,1820600
BD,BANGLADESH,0,0,400,70679
BE,BELGIUM,53340,2086287,595112,30161166
CA,CANADA,0,0,73132,5702438
CN,CHINA,78811,2774592,2481943,101827792
FR,FRANCE,0,0,24775,1147107
DE,GERMANY,0,0,10052,761956
HK,HONG KONG,2,287,55,14194
IN,INDIA,40,3169,12616,24220170
IT,ITALY,26300,1907455,359580,31752534
JP,JAPAN,182575,11886770,2269817,138723612
KR,"KOREA,REPUBLIC OF",1029200,48980351,16625472,806771878
MY,MALAYSIA,33910,1831342,401190,29942201
PT,PORTUGAL,432,60445,45124,4883097
SA,SAUDI ARABIA,49500,1108102,2994850,119372170
SG,SINGAPORE,0,0,1832225,93390883
ES,SPAIN,0,0,25,22371
SE,SWEDEN,0,0,49500,1603576
TW,"TAIWAN, PROVINCE OF CHINA",583600,27497135,9912664,479994406
GB,UNITED KINGDOM,0,0,6030,551579
US,UNITED STATES,19601,2119202,903351,67247170
VN,VIETNAM,0,0,64060,2235298
SUM,SUM,2057339,100280472,38694794,1942216877
