"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2012', 'Quantity')","('Nov 2012', 'CIF (Baht)')","('Jan - Nov 2012', 'Quantity')","('Jan - Nov 2012', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,1,2169
AT,AUSTRIA,0,0,103,28597
BE,BELGIUM,19000,2022399,190000,20521359
CN,CHINA,0,0,16000,1686862
HK,HONG KONG,21,6972,21,9972
IN,INDIA,0,0,6,1386
JP,JAPAN,75925,8229569,1736666,177068089
KR,"KOREA,REPUBLIC OF",28000,1309362,286395,15271768
MY,MALAYSIA,0,0,17750,1444265
QA,QATAR,0,0,115500,4972529
SA,SAUDI ARABIA,0,0,8,3835
SG,SINGAPORE,100,6168,9100,1468087
TW,"TAIWAN, PROVINCE OF CHINA",48000,2073003,464045,29758433
TH,THAILAND,0,0,800,118300
US,UNITED STATES,0,0,174,87341
VN,VIETNAM,0,0,50,49299
SUM,SUM,171046,13647473,2836619,252492291
