"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2012', 'Quantity')","('Sept 2012', 'CIF (Baht)')","('Jan - Sept 2012', 'Quantity')","('Jan - Sept 2012', 'CIF (Baht)')"
AU,AUSTRALIA,56400,2635004,322800,15730231
AT,AUSTRIA,100,170186,1250,1805112
BE,BELGIUM,12800,1212675,160160,17286751
CA,CANADA,0,0,25,14912
CN,CHINA,260510,10357485,1853792,135192007
CZ,CZECH REPUBLIC,0,0,0,458
FR,FRANCE,0,0,5733,973875
DE,GERMANY,35400,4843775,204998,32288773
HK,HONG KONG,0,0,217,248821
IN,INDIA,0,0,348,122417
ID,INDONESIA,0,0,244575,18612595
IE,IRELAND,0,0,200,79430
IT,ITALY,1960,188985,20516,2866751
JP,JAPAN,241281,54394394,2424778,466492332
KR,"KOREA,REPUBLIC OF",271300,15350533,2119265,133386151
KW,KUWAIT,0,0,99000,4263230
LU,LUXEMBOURG,0,0,5000,1051184
MY,MALAYSIA,123220,12789355,897165,107913947
NL,NETHERLANDS,142000,14164905,1141745,115220133
NO,NORWAY,0,0,28,16424
PH,PHILIPPINES,0,0,50,11550
QA,QATAR,0,0,204000,8456857
SA,SAUDI ARABIA,396000,17802360,2499750,110091583
SG,SINGAPORE,99950,9773603,1033060,110870027
ZA,SOUTH AFRICA,0,0,198000,9342105
ES,SPAIN,0,0,420750,20460612
CH,SWITZERLAND,0,0,3900,2258180
TW,"TAIWAN, PROVINCE OF CHINA",15351,1999759,354860,26641769
TH,THAILAND,0,0,3850,784739
AE,UNITED ARAB EMIRATES,0,0,412500,18148412
GB,UNITED KINGDOM,20000,2129300,404825,46039218
US,UNITED STATES,129819,17916126,869459,129971853
VN,VIETNAM,31385,2310388,475841,49087111
SUM,SUM,1837476,168038833,16382440,1585729550
