"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2012', 'Quantity')","('Dec 2012', 'CIF (Baht)')","('Jan - Dec 2012', 'Quantity')","('Jan - Dec 2012', 'CIF (Baht)')"
AT,AUSTRIA,0,0,2,12350
BE,BELGIUM,111400,6085630,796883,47197584
BR,BRAZIL,750,50601,750,50601
CA,CANADA,0,0,68775,6498141
CN,CHINA,39342,2213156,424051,22141068
FR,FRANCE,11000,882261,11000,882497
DE,GERMANY,0,0,235709,21418183
HK,HONG KONG,0,0,240,24238
IN,INDIA,0,0,3,4134
ID,INDONESIA,5000,211361,78414,6668004
IT,ITALY,5710,733415,37188,5095512
JP,JAPAN,21581,2190289,851186,76064759
KR,"KOREA,REPUBLIC OF",312025,15521791,3002587,172061034
MY,MALAYSIA,193796,9086094,2429144,107021270
MX,MEXICO,0,0,0,423
PH,PHILIPPINES,0,0,1000,164915
PT,PORTUGAL,0,0,200,77504
SA,SAUDI ARABIA,0,0,5,2225
SG,SINGAPORE,530,33935,256660,12812352
ZA,SOUTH AFRICA,0,0,49,11837
SE,SWEDEN,0,0,1499,80234
CH,SWITZERLAND,0,0,50000,5861799
TW,"TAIWAN, PROVINCE OF CHINA",45190,2775082,914665,58861939
GB,UNITED KINGDOM,0,0,6300,1139968
US,UNITED STATES,94228,9561351,1085629,119435685
VN,VIETNAM,83410,1475036,717762,12617483
SUM,SUM,923962,50820002,10969701,676205739
