"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2014', 'Quantity')","('Sept 2014', 'CIF (Baht)')","('Jan - Sept 2014', 'Quantity')","('Jan - Sept 2014', 'CIF (Baht)')"
BR,BRAZIL,0,0,77,40185
KH,CAMBODIA,0,0,14,1400
CN,CHINA,0,0,1832,232872
ID,INDONESIA,0,0,120,799
JP,JAPAN,1596,352652,14737,1999356
KR,"KOREA,REPUBLIC OF",0,0,0,8876
SA,SAUDI ARABIA,88750,4594556,427250,22653879
ES,SPAIN,0,0,272250,14592274
TW,"TAIWAN, PROVINCE OF CHINA",0,0,3,1200
SUM,SUM,90346,4947208,716283,39530841
