"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2012', 'Quantity')","('Aug 2012', 'CIF (Baht)')","('Jan - Aug 2012', 'Quantity')","('Jan - Aug 2012', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,0,12000
BR,BRAZIL,0,0,2020,549046
CN,CHINA,0,274,13700,1264865
FR,FRANCE,36100,2760584,140025,10409237
DE,GERMANY,0,0,11300,2772432
JP,JAPAN,380,247845,64765,9023741
KR,"KOREA,REPUBLIC OF",98915,5829862,1050875,59710877
MY,MALAYSIA,0,0,225,81357
RU,RUSSIAN FEDERATION,0,0,6344,1310139
SG,SINGAPORE,0,0,168,28252
TW,"TAIWAN, PROVINCE OF CHINA",2075,188396,9915,866800
GB,UNITED KINGDOM,0,0,5040,583251
US,UNITED STATES,0,0,26750,1938086
SUM,SUM,137470,9026961,1331127,88550083
