"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2016', 'Quantity')","('Sept 2016', 'CIF (Baht)')","('Jan - Sept 2016', 'Quantity')","('Jan - Sept 2016', 'CIF (Baht)')"
KH,CAMBODIA,7,1613,7,1613
CN,CHINA,0,0,4196,293702
FR,FRANCE,0,0,3,1460
DE,GERMANY,0,0,5525,162429
JP,JAPAN,1000,181079,8075,1310116
MY,MALAYSIA,287000,12631154,1424600,60368595
PH,PHILIPPINES,0,0,3,1335
SA,SAUDI ARABIA,272250,11440910,1163250,48873862
SG,SINGAPORE,0,0,74250,3050041
ES,SPAIN,99000,4237876,495000,21258981
TW,"TAIWAN, PROVINCE OF CHINA",0,0,502,424675
US,UNITED STATES,0,0,99,33029
SUM,SUM,659257,28492632,3175510,135779838
