"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2012', 'Quantity')","('Apr 2012', 'CIF (Baht)')","('Jan - Apr 2012', 'Quantity')","('Jan - Apr 2012', 'CIF (Baht)')"
CN,CHINA,0,0,264000,10417500
ID,INDONESIA,29125,2753989,173405,12977947
JP,JAPAN,975,118641,85350,4414931
KR,"KOREA,REPUBLIC OF",140000,7222360,259400,12820153
KW,KUWAIT,321750,12854647,816750,31602788
MY,MALAYSIA,451000,19674686,4181500,185619195
QA,QATAR,280500,11114276,1326000,50978442
SA,SAUDI ARABIA,1707750,72458157,6574750,258954766
SG,SINGAPORE,81500,3744610,859000,39095870
AE,UNITED ARAB EMIRATES,741150,32987562,2999625,128074904
US,UNITED STATES,297000,14200206,1089150,50160872
SUM,SUM,4050750,177129134,18628930,785117368
