"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2021', 'Quantity')","('Apr 2021', 'CIF (Baht)')","('Jan - Apr 2021', 'Quantity')","('Jan - Apr 2021', 'CIF (Baht)')"
AU,AUSTRALIA,37300,567802,37300,567802
BE,BELGIUM,24750,1253300,24750,1253300
CN,CHINA,0,0,50021,338452
JP,JAPAN,37500,1981479,81625,4497460
KR,"KOREA,REPUBLIC OF",2550,205624,57350,4918955
QA,QATAR,0,0,102000,3453761
SA,SAUDI ARABIA,412200,15936804,1406700,52025150
CH,SWITZERLAND,0,0,0,709
TW,"TAIWAN, PROVINCE OF CHINA",6000,958091,426000,15392577
US,UNITED STATES,16,23869,216,66014
SUM,SUM,520316,20926969,2185962,82514180
