"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2013', 'Quantity')","('Jan 2013', 'CIF (Baht)')","('Jan - Jan 2013', 'Quantity')","('Jan - Jan 2013', 'CIF (Baht)')"
AT,AUSTRIA,350,152412,350,152412
BE,BELGIUM,21950,2313865,21950,2313865
CA,CANADA,3000,558745,3000,558745
CN,CHINA,220244,10270531,220244,10270531
DE,GERMANY,52750,5487493,52750,5487493
HK,HONG KONG,426,49987,426,49987
IT,ITALY,1200,896760,1200,896760
JP,JAPAN,211736,29163903,211736,29163903
KR,"KOREA,REPUBLIC OF",817875,54899549,817875,54899549
MY,MALAYSIA,34520,2584588,34520,2584588
NL,NETHERLANDS,1200,91896,1200,91896
QA,QATAR,153000,6485809,153000,6485809
SA,SAUDI ARABIA,887850,38815492,887850,38815492
SG,SINGAPORE,1768810,93956039,1768810,93956039
ES,SPAIN,22000,2106191,22000,2106191
TW,"TAIWAN, PROVINCE OF CHINA",72200,4318460,72200,4318460
TH,THAILAND,8850,514556,8850,514556
AE,UNITED ARAB EMIRATES,408500,17653560,408500,17653560
US,UNITED STATES,1325822,107081617,1325822,107081617
VN,VIETNAM,100,5050,100,5050
VG,VIRGIN ISLANDS (BRITISH),137,141409,137,141409
SUM,SUM,6012520,377547912,6012520,377547912
