"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2020', 'Quantity')","('Feb 2020', 'CIF (Baht)')","('Jan - Feb 2020', 'Quantity')","('Jan - Feb 2020', 'CIF (Baht)')"
BE,BELGIUM,2175,233993,77060,2968583
BR,BRAZIL,1042250,53959336,2329275,112677324
CN,CHINA,15000,495432,73470,2204277
FI,FINLAND,49500,2611337,99000,5243082
FR,FRANCE,0,0,1375,93991
DE,GERMANY,254819,14376032,681134,38013685
HU,HUNGARY,13050,738665,13050,738665
IN,INDIA,2,1530,2057,175857
ID,INDONESIA,5100,1663549,6100,2203114
IT,ITALY,2853,1242537,5853,2237193
JP,JAPAN,197376,15251013,413928,32886260
KR,"KOREA,REPUBLIC OF",242326,10596210,560816,24132659
KW,KUWAIT,297000,7538820,841500,21569785
LU,LUXEMBOURG,8750,1805323,38750,4820500
MY,MALAYSIA,4420875,135181186,9959864,298486300
NL,NETHERLANDS,475000,26644673,745120,41237977
NZ,NEW ZEALAND,0,252,0,252
NO,NORWAY,0,0,51560,2514922
PT,PORTUGAL,0,0,100,59370
QA,QATAR,765000,21601874,1785000,50621071
SA,SAUDI ARABIA,2852300,81007977,5819100,164147732
SG,SINGAPORE,2090000,65826840,4498475,143710379
CH,SWITZERLAND,20,18864,740,140987
TW,"TAIWAN, PROVINCE OF CHINA",0,0,17250,1436990
AE,UNITED ARAB EMIRATES,198000,5280561,594004,15982846
GB,UNITED KINGDOM,0,0,20000,1573731
US,UNITED STATES,875638,25987673,1484964,44561943
VN,VIETNAM,5570,243363,44570,2133287
SUM,SUM,13812604,472307040,30164115,1016572762
