"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2021', 'Quantity')","('Apr 2021', 'CIF (Baht)')","('Jan - Apr 2021', 'Quantity')","('Jan - Apr 2021', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,12100,651910
BE,BELGIUM,149750,7789846,397250,18606516
BR,BRAZIL,0,0,1375,635813
CA,CANADA,0,0,695760,22631138
CN,CHINA,44000,2863710,215801,13339425
DE,GERMANY,120,47761,208,81746
ID,INDONESIA,635500,22996428,2580900,86647205
IL,ISRAEL,6000,484637,6040,510510
JP,JAPAN,101095,10797390,274115,27532434
KR,"KOREA,REPUBLIC OF",42000,2205101,168000,6820674
KW,KUWAIT,99000,3444654,767250,23810111
MY,MALAYSIA,18300,620029,516620,17315551
OM,OMAN,200,4970,200,4970
QA,QATAR,306000,11091422,969000,33915151
SA,SAUDI ARABIA,2645850,95593555,12964870,422180753
SG,SINGAPORE,201375,9231517,1665025,63952967
TW,"TAIWAN, PROVINCE OF CHINA",0,0,1200,2401436
AE,UNITED ARAB EMIRATES,1506150,58515941,4351025,153347253
US,UNITED STATES,498100,21706906,1985255,73713404
VN,VIETNAM,25,4318,55,9465
SUM,SUM,6253465,247398185,27572049,968108432
