"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2017', 'Quantity')","('May 2017', 'CIF (Baht)')","('Jan - May 2017', 'Quantity')","('Jan - May 2017', 'CIF (Baht)')"
BE,BELGIUM,0,0,24000,2442246
CN,CHINA,24000,1615774,29300,2083783
HK,HONG KONG,635,102505,26628,2797294
JP,JAPAN,6,21439,4006,248701
KR,"KOREA,REPUBLIC OF",57000,3508333,466640,32087979
MY,MALAYSIA,0,0,5000,312700
SG,SINGAPORE,0,0,451268,27346935
SE,SWEDEN,10000,794077,66000,5269185
AE,UNITED ARAB EMIRATES,66700,3264485,391700,18386579
GB,UNITED KINGDOM,0,0,17250,1888151
US,UNITED STATES,750,139641,365997,23595325
VN,VIETNAM,20000,1180248,143050,8438875
SUM,SUM,179091,10626502,1990839,124897753
