"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2016', 'Quantity')","('Jun 2016', 'CIF (Baht)')","('Jan - Jun 2016', 'Quantity')","('Jan - Jun 2016', 'CIF (Baht)')"
BE,BELGIUM,0,0,24000,2319853
CN,CHINA,22100,1556219,178175,12790732
DE,GERMANY,0,0,500,155829
IN,INDIA,0,0,2000,421795
IT,ITALY,0,0,141625,28774090
JP,JAPAN,20200,2477442,180200,19604629
KR,"KOREA,REPUBLIC OF",24000,1891528,100800,7550604
MY,MALAYSIA,0,0,2000,166132
SG,SINGAPORE,49500,2323033,136500,6792626
TW,"TAIWAN, PROVINCE OF CHINA",0,0,5000,741014
AE,UNITED ARAB EMIRATES,0,0,26100,1211617
GB,UNITED KINGDOM,2000,356094,2000,356094
US,UNITED STATES,92884,8812833,175664,16075010
VN,VIETNAM,0,0,16500,960665
SUM,SUM,210684,17417149,991064,97920690
