"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2017', 'Quantity')","('May 2017', 'CIF (Baht)')","('Jan - May 2017', 'Quantity')","('Jan - May 2017', 'CIF (Baht)')"
CN,CHINA,0,0,22,12049
FR,FRANCE,700,162818,1700,359558
IT,ITALY,0,0,8650,621337
JP,JAPAN,27997,3847940,110915,18206028
KR,"KOREA,REPUBLIC OF",16200,2114658,63200,4841853
MY,MALAYSIA,0,0,33485,1426531
QA,QATAR,0,0,101500,4620092
CH,SWITZERLAND,0,0,0,4375
GB,UNITED KINGDOM,0,0,25,12225
SUM,SUM,44897,6125416,319497,30104048
