"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2020', 'Quantity')","('Mar 2020', 'CIF (Baht)')","('Jan - Mar 2020', 'Quantity')","('Jan - Mar 2020', 'CIF (Baht)')"
BE,BELGIUM,4,1421,7,2851
CN,CHINA,10300,617339,10300,617339
FR,FRANCE,25400,1801526,25910,1927720
DE,GERMANY,1,274,351,59236
IN,INDIA,28810,1284696,57210,2513907
IT,ITALY,1125,248530,1125,248530
JP,JAPAN,109512,6241646,169353,9213014
KR,"KOREA,REPUBLIC OF",209370,10141113,812510,37943566
NL,NETHERLANDS,0,0,0,3642
RU,RUSSIAN FEDERATION,8250,1291681,8250,1291681
US,UNITED STATES,0,0,656,225403
SUM,SUM,392772,21628226,1085672,54046889
