"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2023', 'Quantity')","('Mar 2023', 'CIF (Baht)')","('Jan - Mar 2023', 'Quantity')","('Jan - Mar 2023', 'CIF (Baht)')"
BE,BELGIUM,1083300,58395821,2858600,159471338
BR,BRAZIL,199525,22541473,953025,92025300
KH,CAMBODIA,2,438,2,438
CN,CHINA,48854,2389480,262654,16274445
CZ,CZECH REPUBLIC,1,1501,1,1501
FR,FRANCE,0,0,49500,3766217
DE,GERMANY,158,592773,41433,9318465
IN,INDIA,0,0,945,165367
ID,INDONESIA,99750,3882210,348750,13555078
IT,ITALY,37180,2638236,258820,20832539
JP,JAPAN,680605,46186266,2094605,148059012
KZ,KAZAKHSTAN,15,6576,15,6576
KR,"KOREA,REPUBLIC OF",2011275,83975363,5541275,219026610
KW,KUWAIT,74250,2442819,396000,13430688
MY,MALAYSIA,420750,15495871,2739000,94616131
MX,MEXICO,0,0,167,374868
NL,NETHERLANDS,0,0,10,8930
OM,OMAN,297000,10864563,1386000,45525423
PH,PHILIPPINES,102000,3942468,102000,3942468
PT,PORTUGAL,0,0,50,2259
QA,QATAR,888160,34020174,2979160,109769332
SA,SAUDI ARABIA,1285000,50014290,4182750,159445696
SG,SINGAPORE,774000,31882544,2543790,98425550
ES,SPAIN,0,0,30,18723
TW,"TAIWAN, PROVINCE OF CHINA",248500,10377578,522500,23708443
AE,UNITED ARAB EMIRATES,192125,7461977,934625,34186480
GB,UNITED KINGDOM,901,117421,902,120569
US,UNITED STATES,932418,38473259,2805986,121416968
SUM,SUM,9375769,425703101,31002595,1387495414
