"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2020', 'Quantity')","('Apr 2020', 'CIF (Baht)')","('Jan - Apr 2020', 'Quantity')","('Jan - Apr 2020', 'CIF (Baht)')"
CA,CANADA,0,0,100,5308
CN,CHINA,29401,795143,37696,1543615
DE,GERMANY,0,0,1000,187887
JP,JAPAN,11100,944541,67900,6329464
KR,"KOREA,REPUBLIC OF",0,0,10202,505500
MY,MALAYSIA,48000,1784725,192000,6530777
NL,NETHERLANDS,11000,505922,167750,6769728
QA,QATAR,0,0,25500,682755
SA,SAUDI ARABIA,443250,13164273,690750,20301678
SG,SINGAPORE,657070,29996128,4027225,187820655
ES,SPAIN,67100,4337633,190800,12375350
AE,UNITED ARAB EMIRATES,203500,5723152,2601500,68213197
US,UNITED STATES,2315650,82574703,7436704,253971486
SUM,SUM,3786071,139826220,15449127,565237400
