"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2019', 'Quantity')","('Apr 2019', 'CIF (Baht)')","('Jan - Apr 2019', 'Quantity')","('Jan - Apr 2019', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,30890,1397062
AT,AUSTRIA,160,134001,615,222943
BE,BELGIUM,65040,2591116,368985,20187099
BR,BRAZIL,143125,12580366,252625,22259907
CN,CHINA,61969,2927409,168923,9105351
FI,FINLAND,0,0,49500,2905006
FR,FRANCE,0,0,262915,14960634
DE,GERMANY,109524,8008260,245489,27155469
HK,HONG KONG,0,0,3,2329
IN,INDIA,0,0,8675,582917
ID,INDONESIA,0,0,5025,191225
IT,ITALY,112507,5904839,504442,28262041
JP,JAPAN,1170784,64018804,4534126,257776664
KR,"KOREA,REPUBLIC OF",585025,22054465,2490155,100883649
KW,KUWAIT,519750,17469708,2227500,76921048
LA,LAO PDR,0,0,2,4500
MY,MALAYSIA,634400,23576881,3634875,134049286
NL,NETHERLANDS,135,37969,135,37969
NO,NORWAY,19,4760,19,4760
PH,PHILIPPINES,7,3651,507,27485
QA,QATAR,1887880,66879716,6968760,255646916
SA,SAUDI ARABIA,1732500,60041245,7864600,273972688
SG,SINGAPORE,2098975,77415867,6395251,234072773
CH,SWITZERLAND,0,0,100,29211
TW,"TAIWAN, PROVINCE OF CHINA",0,0,1147007,47273020
TH,THAILAND,0,0,24750,900366
AE,UNITED ARAB EMIRATES,1090225,40167580,5767950,209061577
GB,UNITED KINGDOM,300,32008,396,190698
US,UNITED STATES,776864,30297867,4905628,796012410
VN,VIETNAM,25,3606,25,3606
SUM,SUM,10989214,434150118,47859873,2514100609
