"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2012', 'Quantity')","('Nov 2012', 'CIF (Baht)')","('Jan - Nov 2012', 'Quantity')","('Jan - Nov 2012', 'CIF (Baht)')"
AU,AUSTRALIA,50132,2262378,652913,29794093
AT,AUSTRIA,0,0,8000,482849
BD,BANGLADESH,0,0,25,3874
BE,BELGIUM,146650,10476321,1510708,108952603
BR,BRAZIL,0,0,5425,2359909
CA,CANADA,500,116298,1050,286722
CN,CHINA,859974,52557291,7865765,541604505
CZ,CZECH REPUBLIC,0,0,22000,1472196
FI,FINLAND,19250,1288799,126500,7960812
FR,FRANCE,0,0,464677,28937044
DE,GERMANY,51665,9790992,347646,48768447
HK,HONG KONG,0,0,55945,7580638
IN,INDIA,22025,839164,257421,13878757
ID,INDONESIA,19200,2745404,378341,32609046
IL,ISRAEL,12000,1338326,36009,4013684
IT,ITALY,0,0,22431,3029765
JP,JAPAN,866537,89354390,13628496,1254016164
KP,KOREA DPR,0,0,200,12654
KR,"KOREA,REPUBLIC OF",1907398,109208393,20823613,1200766697
KW,KUWAIT,0,0,123750,5507310
LU,LUXEMBOURG,25,2531,25,2531
MY,MALAYSIA,163025,14076563,2436643,202907724
NL,NETHERLANDS,127247,11526133,1020172,90675757
NZ,NEW ZEALAND,2254,144234,5004,323850
PH,PHILIPPINES,0,0,306000,12879086
PT,PORTUGAL,0,0,2000,65291
QA,QATAR,0,0,16500,741262
SA,SAUDI ARABIA,4909100,219224980,51267540,2264329873
SG,SINGAPORE,807897,50570779,9578925,578729867
ZA,SOUTH AFRICA,0,0,544500,24811460
ES,SPAIN,24750,2747608,122400,13341004
SE,SWEDEN,0,0,125,28258
TW,"TAIWAN, PROVINCE OF CHINA",110000,8310583,1011695,60855848
TH,THAILAND,100,17280,29200,1312535
TR,TÜRKIYE,6500,724457,6500,724457
AE,UNITED ARAB EMIRATES,500048,22128782,8300442,343272180
GB,UNITED KINGDOM,0,0,47120,795399
US,UNITED STATES,1366765,62494106,6166187,345235117
VN,VIETNAM,333,192327,727059,34678879
SUM,SUM,11973375,672138119,127918952,7267748147
