"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2020', 'Quantity')","('May 2020', 'CIF (Baht)')","('Jan - May 2020', 'Quantity')","('Jan - May 2020', 'CIF (Baht)')"
CN,CHINA,67412,5554189,73987,5847500
IT,ITALY,0,0,450,45005
JP,JAPAN,0,0,33,84025
KR,"KOREA,REPUBLIC OF",184400,11905600,795800,48052872
QA,QATAR,0,0,34000,969360
SG,SINGAPORE,14050,3237849,27975,6528239
TW,"TAIWAN, PROVINCE OF CHINA",0,0,27,7946
US,UNITED STATES,0,0,50167,5551698
VN,VIETNAM,0,0,1560,107696
SUM,SUM,265862,20697638,983999,67194341
