"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2018', 'Quantity')","('Jun 2018', 'CIF (Baht)')","('Jan - Jun 2018', 'Quantity')","('Jan - Jun 2018', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,400,125200
BE,BELGIUM,0,0,24000,2338273
CN,CHINA,20000,1227548,114000,6780674
IT,ITALY,0,0,275,30441
JP,JAPAN,0,0,1006,88135
KR,"KOREA,REPUBLIC OF",35200,2399534,452136,30249107
MY,MALAYSIA,89200,5383510,162300,8964798
NZ,NEW ZEALAND,0,0,1871,1021525
SA,SAUDI ARABIA,0,0,22000,1035847
SG,SINGAPORE,50,8607,50,8607
ES,SPAIN,5800,1505383,5800,1505383
AE,UNITED ARAB EMIRATES,126000,6308952,498500,24705514
US,UNITED STATES,328713,19999516,660242,39757410
VN,VIETNAM,10000,516862,11560,649079
SUM,SUM,614963,37349912,1954140,117259993
