"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2020', 'Quantity')","('Mar 2020', 'CIF (Baht)')","('Jan - Mar 2020', 'Quantity')","('Jan - Mar 2020', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,44000,940506
AT,AUSTRIA,500,86923,560,135368
BE,BELGIUM,65540,2279765,295685,10179362
BR,BRAZIL,280750,22296626,333625,26536934
CN,CHINA,225650,8591837,331450,13851035
CZ,CZECH REPUBLIC,75,16883,75,16883
FR,FRANCE,44000,2295460,66000,3415305
DE,GERMANY,13155,3929288,67830,14568485
IN,INDIA,0,0,500,63078
ID,INDONESIA,0,0,2008,152674
IL,ISRAEL,0,0,450,83962
IT,ITALY,379340,18572509,1225820,58798608
JP,JAPAN,1087884,48860466,3609793,168160278
KR,"KOREA,REPUBLIC OF",505000,15681457,1440680,43318652
KW,KUWAIT,396000,10699739,1584000,40905885
MY,MALAYSIA,1744725,54350361,2058750,62813285
NL,NETHERLANDS,5,2488,11005,972678
PT,PORTUGAL,0,0,50,17307
QA,QATAR,894780,24672148,4324920,117494938
SA,SAUDI ARABIA,2160125,58433931,4702000,122224470
SG,SINGAPORE,1662875,48338209,4250795,119916737
CH,SWITZERLAND,116460,5698971,116460,5698971
TW,"TAIWAN, PROVINCE OF CHINA",366050,16254331,989300,42164268
TH,THAILAND,13500,632981,13500,632981
AE,UNITED ARAB EMIRATES,1534750,49110019,4763668,132562368
US,UNITED STATES,3473354,99538744,10360279,295809058
SUM,SUM,14964518,490343136,40593203,1281434076
