"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2016', 'Quantity')","('Apr 2016', 'CIF (Baht)')","('Jan - Apr 2016', 'Quantity')","('Jan - Apr 2016', 'CIF (Baht)')"
BE,BELGIUM,12000,1159936,12000,1159936
CN,CHINA,25025,1779483,106025,7666097
DE,GERMANY,0,0,500,155829
IN,INDIA,2000,421795,2000,421795
IT,ITALY,13750,2163969,141625,28774090
JP,JAPAN,60000,6461199,160000,17127187
KR,"KOREA,REPUBLIC OF",37000,2669259,76800,5659076
MY,MALAYSIA,0,0,2000,166132
SG,SINGAPORE,0,0,87000,4469593
TW,"TAIWAN, PROVINCE OF CHINA",0,0,5000,741014
AE,UNITED ARAB EMIRATES,13000,594028,26000,1207155
US,UNITED STATES,43500,4600785,66780,6249886
VN,VIETNAM,0,0,16500,960665
SUM,SUM,206275,19850454,702230,74758455
