"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2018', 'Quantity')","('Feb 2018', 'CIF (Baht)')","('Jan - Feb 2018', 'Quantity')","('Jan - Feb 2018', 'CIF (Baht)')"
AU,AUSTRALIA,290060,10866600,290060,10866600
BE,BELGIUM,162000,8511840,162000,8511840
CN,CHINA,193050,12966100,491250,28189884
FI,FINLAND,23375,1365306,70125,4389056
DE,GERMANY,0,0,22510,420437
IN,INDIA,1020,115425,2020,225539
IL,ISRAEL,24100,1591270,24100,1591270
JP,JAPAN,413875,24054073,754144,41357079
KR,"KOREA,REPUBLIC OF",536600,24700483,1170675,53659466
MY,MALAYSIA,68385,9199234,133701,18225782
SA,SAUDI ARABIA,272250,10861109,768500,30164497
SG,SINGAPORE,16080,2329076,271090,14493697
ZA,SOUTH AFRICA,10,4603,10,4603
TW,"TAIWAN, PROVINCE OF CHINA",54000,2566411,102200,4932701
TH,THAILAND,0,0,50,8542
US,UNITED STATES,14222,1209769,31406,2886581
SUM,SUM,2069027,110341299,4293841,219927574
