"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2015', 'Quantity')","('Nov 2015', 'CIF (Baht)')","('Jan - Nov 2015', 'Quantity')","('Jan - Nov 2015', 'CIF (Baht)')"
CN,CHINA,2000,269657,14448,2379749
DE,GERMANY,2,1513,470,184592
IN,INDIA,0,0,30,29303
JP,JAPAN,3200,930139,7908,2402610
KR,"KOREA,REPUBLIC OF",0,0,11,5855
MY,MALAYSIA,0,0,3000,295509
SG,SINGAPORE,0,0,14680,1393397
TW,"TAIWAN, PROVINCE OF CHINA",21,15193,21,15193
US,UNITED STATES,0,0,60,21551
SUM,SUM,5223,1216502,40628,6727759
