"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2013', 'Quantity')","('Jul 2013', 'CIF (Baht)')","('Jan - Jul 2013', 'Quantity')","('Jan - Jul 2013', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,16400,981982
AT,AUSTRIA,10000,598956,10000,598956
BE,BELGIUM,13190,1469663,82040,8625642
BR,BRAZIL,0,0,18387,2640137
CA,CANADA,8000,1308636,32000,5152036
CN,CHINA,129025,16397174,608667,70650266
CZ,CZECH REPUBLIC,1500,244184,1500,244184
FR,FRANCE,3050,336492,30540,6598782
DE,GERMANY,6025,625505,27192,3306376
HK,HONG KONG,2000,189928,40825,3391906
IN,INDIA,0,0,500,40596
ID,INDONESIA,1000,66102,46533,4557822
IT,ITALY,0,0,5517,660634
JP,JAPAN,1213808,84449303,11410372,741173618
KR,"KOREA,REPUBLIC OF",995500,51442347,5477700,274521365
LU,LUXEMBOURG,0,0,400,182004
MY,MALAYSIA,67200,3124278,639575,29646508
NL,NETHERLANDS,222750,15424810,976050,65395616
NZ,NEW ZEALAND,0,0,80,12140
SA,SAUDI ARABIA,350000,16083275,1743250,78923153
SG,SINGAPORE,4740450,247618154,36575250,1820773689
ES,SPAIN,10,8592,5510,592693
TW,"TAIWAN, PROVINCE OF CHINA",7550,627906,1305524,72134053
TH,THAILAND,0,0,17000,820856
AE,UNITED ARAB EMIRATES,74250,3392631,588650,26043114
GB,UNITED KINGDOM,0,0,45000,4082842
US,UNITED STATES,1675,409577,233349,18336372
VN,VIETNAM,13000,4487887,69000,14273911
SUM,SUM,7859983,448305400,60006811,3254361253
