"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2021', 'Quantity')","('Jun 2021', 'CIF (Baht)')","('Jan - Jun 2021', 'Quantity')","('Jan - Jun 2021', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,1250,69089
AT,AUSTRIA,0,0,45050,2400488
BD,BANGLADESH,2,224,2,224
BE,BELGIUM,598635,46199929,2169650,121255866
BR,BRAZIL,0,0,6810,1052346
CA,CANADA,9600,1000549,50400,4869780
CN,CHINA,154556,9909502,739656,47700145
FR,FRANCE,11000,615129,48300,2717404
DE,GERMANY,102000,7923250,313477,25076799
HK,HONG KONG,117,49010,273,75284
IN,INDIA,8500,393840,8627,424610
ID,INDONESIA,41250,3685638,180275,16482200
IT,ITALY,55,46619,126555,6268079
JP,JAPAN,1526089,92568785,6920734,441383951
KR,"KOREA,REPUBLIC OF",1734750,81119458,11986320,513497889
MY,MALAYSIA,176027,14303381,552497,49197347
MX,MEXICO,0,0,52,36842
NL,NETHERLANDS,94900,8047643,905221,55553523
OM,OMAN,49500,2266870,49500,2266870
PH,PHILIPPINES,0,0,13,4817
SA,SAUDI ARABIA,148500,6483163,1611750,64956765
SG,SINGAPORE,3988684,218994450,24208697,1172881951
ES,SPAIN,0,0,20900,1640337
TW,"TAIWAN, PROVINCE OF CHINA",23580,1674080,290873,15647399
TH,THAILAND,0,0,26650,1686234
AE,UNITED ARAB EMIRATES,448254,21157440,2696565,112862387
GB,UNITED KINGDOM,480,188188,480,188188
US,UNITED STATES,42021,5462319,103173,13086567
VN,VIETNAM,0,0,187750,7346010
SUM,SUM,9158500,522089467,53251500,2680629391
