"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2019', 'Quantity')","('Nov 2019', 'CIF (Baht)')","('Jan - Nov 2019', 'Quantity')","('Jan - Nov 2019', 'CIF (Baht)')"
BE,BELGIUM,0,0,28,16556
CN,CHINA,0,0,151037,5272342
HK,HONG KONG,0,0,11,3425
IT,ITALY,0,0,13750,3359106
JP,JAPAN,0,0,150000,4747957
KR,"KOREA,REPUBLIC OF",162200,7733289,989240,64386301
MY,MALAYSIA,2000,146080,72445,4718842
QA,QATAR,0,0,17000,505993
SA,SAUDI ARABIA,0,0,156750,6434096
SG,SINGAPORE,0,0,1575,275105
SE,SWEDEN,0,0,40000,2772286
GB,UNITED KINGDOM,0,0,325,283967
US,UNITED STATES,25402,2611372,165111,17381244
VN,VIETNAM,0,0,1680,115909
SUM,SUM,189602,10490741,1758952,110273129
