"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2019', 'Quantity')","('Sept 2019', 'CIF (Baht)')","('Jan - Sept 2019', 'Quantity')","('Jan - Sept 2019', 'CIF (Baht)')"
CN,CHINA,0,0,148275,5196007
HK,HONG KONG,0,0,11,3425
IT,ITALY,0,0,13750,3359106
JP,JAPAN,0,0,150000,4747957
KR,"KOREA,REPUBLIC OF",55400,3111302,700160,48649824
MY,MALAYSIA,0,0,70445,4572762
QA,QATAR,17000,505993,17000,505993
SA,SAUDI ARABIA,0,0,156750,6434096
SG,SINGAPORE,0,0,1575,275105
SE,SWEDEN,0,0,40000,2772286
GB,UNITED KINGDOM,325,283967,325,283967
US,UNITED STATES,0,0,139709,14769872
VN,VIETNAM,0,0,1680,115909
SUM,SUM,72725,3901262,1439680,91686309
