"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2015', 'Quantity')","('Aug 2015', 'CIF (Baht)')","('Jan - Aug 2015', 'Quantity')","('Jan - Aug 2015', 'CIF (Baht)')"
CN,CHINA,112300,11526202,524325,50789099
FI,FINLAND,0,0,3750,423933
JP,JAPAN,109000,9415085,1626390,106268876
KR,"KOREA,REPUBLIC OF",136000,8568285,920600,56941524
MY,MALAYSIA,10000,614213,150000,8995381
SA,SAUDI ARABIA,0,0,49500,2052856
SE,SWEDEN,0,0,218050,17362234
TW,"TAIWAN, PROVINCE OF CHINA",0,0,22550,2153428
AE,UNITED ARAB EMIRATES,65000,3449655,592800,30120779
GB,UNITED KINGDOM,0,0,11000,1098255
US,UNITED STATES,230056,15010865,840306,54151895
VN,VIETNAM,73750,5238118,453125,31532780
SUM,SUM,736106,53822423,5412396,361891040
