"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2015', 'Quantity')","('Feb 2015', 'CIF (Baht)')","('Jan - Feb 2015', 'Quantity')","('Jan - Feb 2015', 'CIF (Baht)')"
CN,CHINA,12025,1101551,160825,13384106
FI,FINLAND,2500,282764,2500,282764
JP,JAPAN,13090,1949183,60690,5388844
KR,"KOREA,REPUBLIC OF",108000,6573905,206000,13410784
MY,MALAYSIA,30000,1737567,40000,2437836
SE,SWEDEN,56100,3770358,96100,7648928
TW,"TAIWAN, PROVINCE OF CHINA",0,0,11550,1136448
AE,UNITED ARAB EMIRATES,13000,596674,124800,6722647
US,UNITED STATES,82552,5575200,129608,9311838
VN,VIETNAM,55750,3796831,127750,8981469
SUM,SUM,373017,25384033,959823,68705664
