"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2020', 'Quantity')","('Dec 2020', 'CIF (Baht)')","('Jan - Dec 2020', 'Quantity')","('Jan - Dec 2020', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,406,123335
AT,AUSTRIA,340,498861,1888,2794815
BE,BELGIUM,850,281419,20142,2919396
BZ,BELIZE,0,0,191,65750
BR,BRAZIL,764,277525,5004,1395872
CA,CANADA,10,144166,188,2069263
CN,CHINA,131513,6509122,1724738,97954485
FR,FRANCE,30130,1638733,262221,15234111
DE,GERMANY,30507,7157343,234608,50089768
HK,HONG KONG,0,0,983401,82324320
IN,INDIA,0,0,828,233875
ID,INDONESIA,21,6075,712,388115
IL,ISRAEL,0,0,2060,63418
IT,ITALY,0,0,4140,407530
JP,JAPAN,159151,24638285,1979454,307755914
KR,"KOREA,REPUBLIC OF",359250,16137028,4543665,218864830
LU,LUXEMBOURG,0,0,417,41591
MY,MALAYSIA,104200,6967270,1152284,71439223
NL,NETHERLANDS,1700,366244,453996,39274579
NO,NORWAY,0,0,2,358
PH,PHILIPPINES,0,0,1,776
SA,SAUDI ARABIA,147000,4839694,2212660,69279486
SG,SINGAPORE,56857,6037193,502616,53712535
ES,SPAIN,2520,698509,2520,698509
CH,SWITZERLAND,200,129895,550,566370
TW,"TAIWAN, PROVINCE OF CHINA",0,0,133475,12799610
TH,THAILAND,1325,177419,11475,984654
AE,UNITED ARAB EMIRATES,841500,29940548,6335875,209870097
GB,UNITED KINGDOM,1000,282163,21978,3312513
US,UNITED STATES,70572,9124584,950409,142007425
VN,VIETNAM,10000,698416,42850,3102376
SUM,SUM,1949410,116550492,21584754,1389774899
