"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2018', 'Quantity')","('Jan 2018', 'CIF (Baht)')","('Jan - Jan 2018', 'Quantity')","('Jan - Jan 2018', 'CIF (Baht)')"
AT,AUSTRIA,80,38359,80,38359
BE,BELGIUM,24750,1396933,24750,1396933
BR,BRAZIL,74250,4651138,74250,4651138
CA,CANADA,11000,567660,11000,567660
CN,CHINA,120936,4584158,120936,4584158
DE,GERMANY,372950,23703121,372950,23703121
ID,INDONESIA,69340,3928865,69340,3928865
JP,JAPAN,1393249,65631190,1393249,65631190
KR,"KOREA,REPUBLIC OF",831025,38396570,831025,38396570
KW,KUWAIT,816750,32125086,816750,32125086
MY,MALAYSIA,947350,41566141,947350,41566141
NO,NORWAY,375260,21018735,375260,21018735
QA,QATAR,739500,30880637,739500,30880637
SA,SAUDI ARABIA,1905750,78080249,1905750,78080249
SG,SINGAPORE,1867400,81038775,1867400,81038775
TW,"TAIWAN, PROVINCE OF CHINA",413000,19065065,413000,19065065
TH,THAILAND,4,2152,4,2152
AE,UNITED ARAB EMIRATES,1417750,59555846,1417750,59555846
US,UNITED STATES,929308,43479508,929308,43479508
SUM,SUM,12309652,549710188,12309652,549710188
