"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2016', 'Quantity')","('Jun 2016', 'CIF (Baht)')","('Jan - Jun 2016', 'Quantity')","('Jan - Jun 2016', 'CIF (Baht)')"
CN,CHINA,108075,7139916,216200,14651662
IN,INDIA,100,3904,100,3904
JP,JAPAN,50000,2525333,52300,2908496
KR,"KOREA,REPUBLIC OF",1975,105318,3975,209748
NL,NETHERLANDS,0,0,78,51774
SA,SAUDI ARABIA,0,0,247500,7591189
SG,SINGAPORE,102000,3654088,204000,6812690
TW,"TAIWAN, PROVINCE OF CHINA",0,0,1050,106902
US,UNITED STATES,11431,1113863,11431,1113863
SUM,SUM,273581,14542422,736634,33450228
