"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2018', 'Quantity')","('Feb 2018', 'CIF (Baht)')","('Jan - Feb 2018', 'Quantity')","('Jan - Feb 2018', 'CIF (Baht)')"
BE,BELGIUM,24800,1060650,99050,4355427
CN,CHINA,0,0,11000,849682
FR,FRANCE,22000,1725872,42850,3418410
IN,INDIA,52000,2212332,76800,3225166
ID,INDONESIA,42725,3591460,99450,8355454
JP,JAPAN,162000,11757146,229000,17455896
KR,"KOREA,REPUBLIC OF",109600,4818961,250900,11127045
KW,KUWAIT,123750,4556832,297000,10991815
MY,MALAYSIA,221850,9470941,477675,20536845
NL,NETHERLANDS,20000,882197,20000,882197
QA,QATAR,102000,4049876,561000,21415331
SA,SAUDI ARABIA,2843100,109889935,6226500,243459724
SG,SINGAPORE,818250,34090535,1813925,75525736
ES,SPAIN,0,0,11000,480884
AE,UNITED ARAB EMIRATES,665500,26518396,1297275,52212293
US,UNITED STATES,122900,5682771,244210,11541964
VN,VIETNAM,0,0,5,946
SUM,SUM,5330475,220307904,11757640,485834815
