"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2014', 'Quantity')","('Aug 2014', 'CIF (Baht)')","('Jan - Aug 2014', 'Quantity')","('Jan - Aug 2014', 'CIF (Baht)')"
AU,AUSTRALIA,24110,526002,24110,526002
CN,CHINA,0,0,12000,813364
FR,FRANCE,0,0,22,9097
IN,INDIA,0,0,144216,6999751
JP,JAPAN,0,0,6600,337453
MY,MALAYSIA,2880,478705,3320,550395
NL,NETHERLANDS,0,0,2200,148877
SG,SINGAPORE,102000,5268752,102000,5268752
TW,"TAIWAN, PROVINCE OF CHINA",0,0,10000,564523
US,UNITED STATES,2855,732717,4622,1326939
SUM,SUM,131845,7006176,309090,16545153
