"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2019', 'Quantity')","('Jun 2019', 'CIF (Baht)')","('Jan - Jun 2019', 'Quantity')","('Jan - Jun 2019', 'CIF (Baht)')"
AU,AUSTRALIA,555001,20896782,574111,21163067
AT,AUSTRIA,1000,288463,3700,1004079
BR,BRAZIL,0,0,25,16597
CN,CHINA,688640,30834179,6807497,323824489
HR,CROATIA,150,75693,58722,502600
CZ,CZECH REPUBLIC,0,0,202,28715
FI,FINLAND,0,0,70125,4059359
FR,FRANCE,0,0,360,88413
DE,GERMANY,25,17842,5315,691542
HK,HONG KONG,1031225,6758536,1984685,15094661
IN,INDIA,3000,249937,329884,7691446
ID,INDONESIA,24250,1906938,224765,20422592
IL,ISRAEL,0,0,10000,748442
IT,ITALY,5000,448381,42075,3640112
JP,JAPAN,1315015,56429189,5815785,334806085
KR,"KOREA,REPUBLIC OF",1214906,56384380,9128878,448815017
MY,MALAYSIA,68927,7064225,399934,39755649
MX,MEXICO,194000,1235726,262000,1885437
NL,NETHERLANDS,99000,8813288,410410,31186397
NO,NORWAY,3,1323,3,1323
OM,OMAN,346500,12784275,1039500,36765704
PH,PHILIPPINES,0,0,304000,11618370
SA,SAUDI ARABIA,1163985,43420515,12616050,453695729
SG,SINGAPORE,456262,28479908,3174206,178283833
SI,SLOVENIA,11,5339,11,5339
ZA,SOUTH AFRICA,0,0,272250,10508025
ES,SPAIN,0,24,11000,907499
TW,"TAIWAN, PROVINCE OF CHINA",233039,9442138,1874190,84066252
TH,THAILAND,0,0,49830,458376
TR,TÜRKIYE,15,30190,15,30190
AE,UNITED ARAB EMIRATES,60500,2286952,1092575,40217753
GB,UNITED KINGDOM,6000,525753,6000,525753
US,UNITED STATES,54210,1057262,212346,10492536
VN,VIETNAM,486000,18077652,829853,32151708
SUM,SUM,8006664,307514890,47610302,2115153089
