"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2016', 'Quantity')","('Oct 2016', 'CIF (Baht)')","('Jan - Oct 2016', 'Quantity')","('Jan - Oct 2016', 'CIF (Baht)')"
BE,BELGIUM,1925,209377,183425,9007452
CN,CHINA,8004,1039460,38592,6426737
FR,FRANCE,0,0,13,1186
DE,GERMANY,0,0,1214,59262
ID,INDONESIA,0,0,25,5309
IT,ITALY,0,0,1375,112233
JP,JAPAN,100,50292,96416,7517117
KR,"KOREA,REPUBLIC OF",43600,2106050,289000,14090415
MY,MALAYSIA,0,0,40079,883644
NL,NETHERLANDS,24750,2102924,24750,2102924
QA,QATAR,25500,1082699,178500,7622369
SA,SAUDI ARABIA,21600,989389,460350,20329569
TW,"TAIWAN, PROVINCE OF CHINA",0,0,6500,768078
UA,UKRAINE,0,0,5125,207761
AE,UNITED ARAB EMIRATES,0,0,24750,951799
GB,UNITED KINGDOM,0,0,26,20747
US,UNITED STATES,0,0,835,536413
VN,VIETNAM,0,0,1010,35081
SUM,SUM,125479,7580191,1351985,70678096
