"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2018', 'Quantity')","('Jul 2018', 'CIF (Baht)')","('Jan - Jul 2018', 'Quantity')","('Jan - Jul 2018', 'CIF (Baht)')"
AT,AUSTRIA,0,0,200,138013
BE,BELGIUM,66940,3246585,1116371,56993743
BR,BRAZIL,60500,4173102,320800,23375951
CA,CANADA,10772,3628161,49296,10054325
CN,CHINA,24000,1064184,720128,29394565
CR,COSTA RICA,172,41280,172,41280
DK,DENMARK,0,0,1,459
FI,FINLAND,0,0,24750,1960189
FR,FRANCE,159500,8751136,377250,20411450
DE,GERMANY,177450,16479391,1403015,103322950
HK,HONG KONG,0,0,16,8418
ID,INDONESIA,0,0,69385,3928879
IT,ITALY,4000,567209,122500,7754042
JP,JAPAN,1528104,82850828,9491367,484839264
KR,"KOREA,REPUBLIC OF",655025,32689346,3647225,171825186
KW,KUWAIT,742500,30431187,5024250,203629974
MY,MALAYSIA,147455,7127062,3268315,143666654
NL,NETHERLANDS,49501,2776262,60501,3572910
NO,NORWAY,272805,8276653,1580270,83549165
QA,QATAR,3280176,152767670,14696656,651967572
SA,SAUDI ARABIA,1383250,62206030,11235750,484295329
SG,SINGAPORE,1302955,61894680,8055340,364293634
SE,SWEDEN,0,0,2750,274810
CH,SWITZERLAND,0,0,16640,774075
TW,"TAIWAN, PROVINCE OF CHINA",256500,12856738,2394700,113487702
TH,THAILAND,0,0,54011,2198559
AE,UNITED ARAB EMIRATES,522325,22732146,8195636,350878632
GB,UNITED KINGDOM,100,11660,100,11660
US,UNITED STATES,860424,39858658,6161163,281341945
SUM,SUM,11504454,554429968,78088558,3597991335
