"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2021', 'Quantity')","('Jan 2021', 'CIF (Baht)')","('Jan - Jan 2021', 'Quantity')","('Jan - Jan 2021', 'CIF (Baht)')"
BE,BELGIUM,24750,1279515,24750,1279515
BR,BRAZIL,159750,8261236,159750,8261236
CA,CANADA,24500,766621,24500,766621
CN,CHINA,56873,4368580,56873,4368580
FI,FINLAND,49400,2456859,49400,2456859
DE,GERMANY,158093,10232840,158093,10232840
ID,INDONESIA,3375,262267,3375,262267
IT,ITALY,5265,906240,5265,906240
JP,JAPAN,189563,14358417,189563,14358417
KR,"KOREA,REPUBLIC OF",302020,12938709,302020,12938709
KW,KUWAIT,594000,17456772,594000,17456772
LU,LUXEMBOURG,7500,712542,7500,712542
MY,MALAYSIA,2635940,110996246,2635940,110996246
NL,NETHERLANDS,309280,16433356,309280,16433356
NO,NORWAY,88820,4852688,88820,4852688
QA,QATAR,1096500,37856933,1096500,37856933
SA,SAUDI ARABIA,3005350,109549565,3005350,109549565
SG,SINGAPORE,2108500,85179316,2108500,85179316
SI,SLOVENIA,1,973,1,973
ES,SPAIN,19175,1285547,19175,1285547
TW,"TAIWAN, PROVINCE OF CHINA",16300,1417678,16300,1417678
AE,UNITED ARAB EMIRATES,272250,9996679,272250,9996679
GB,UNITED KINGDOM,22500,1807904,22500,1807904
US,UNITED STATES,224596,10490975,224596,10490975
VN,VIETNAM,76000,5186086,76000,5186086
SUM,SUM,11450301,469054544,11450301,469054544
