"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2012', 'Quantity')","('Feb 2012', 'CIF (Baht)')","('Jan - Feb 2012', 'Quantity')","('Jan - Feb 2012', 'CIF (Baht)')"
CN,CHINA,8638,2109251,9764,2346399
DE,GERMANY,100160,6239475,149660,9346654
JP,JAPAN,75825,8287506,114825,11848469
KR,"KOREA,REPUBLIC OF",0,0,10,5000
MY,MALAYSIA,448500,20721483,567500,26221788
NL,NETHERLANDS,0,0,49500,3051166
QA,QATAR,102000,4337963,102000,4337963
SA,SAUDI ARABIA,74250,3016389,99000,4089976
SG,SINGAPORE,24750,930838,24750,930838
TW,"TAIWAN, PROVINCE OF CHINA",166000,5005098,166000,5005098
US,UNITED STATES,11000,510621,20072,3191109
SUM,SUM,1011123,51158624,1303081,70374460
