"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2022', 'Quantity')","('Nov 2022', 'CIF (Baht)')","('Jan - Nov 2022', 'Quantity')","('Jan - Nov 2022', 'CIF (Baht)')"
BR,BRAZIL,0,0,1375,171691
CN,CHINA,0,0,106506,6088291
DE,GERMANY,0,0,125,4149
HK,HONG KONG,0,0,400,237816
IN,INDIA,0,0,50,58064
JP,JAPAN,2500,573401,166988,13332215
KR,"KOREA,REPUBLIC OF",0,0,54,17763
SA,SAUDI ARABIA,222750,8696188,2004750,91767641
SG,SINGAPORE,0,0,49500,2190752
AE,UNITED ARAB EMIRATES,37700,1741879,112300,5503692
US,UNITED STATES,0,0,221375,11054918
SUM,SUM,262950,11011468,2663423,130426992
