"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2018', 'Quantity')","('Dec 2018', 'CIF (Baht)')","('Jan - Dec 2018', 'Quantity')","('Jan - Dec 2018', 'CIF (Baht)')"
CN,CHINA,0,0,8100,1519610
IN,INDIA,15000,526931,18000,623358
IT,ITALY,0,0,14996,564857
JP,JAPAN,2500,238285,24603,2261895
KR,"KOREA,REPUBLIC OF",0,0,2000,95635
NZ,NEW ZEALAND,0,0,50,17286
SA,SAUDI ARABIA,0,0,99000,4141522
SG,SINGAPORE,0,0,484500,17435376
TW,"TAIWAN, PROVINCE OF CHINA",0,0,3203,934858
SUM,SUM,17500,765216,654452,27594397
