"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2020', 'Quantity')","('Sept 2020', 'CIF (Baht)')","('Jan - Sept 2020', 'Quantity')","('Jan - Sept 2020', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,7500,547429
AT,AUSTRIA,1,2093,15126,936605
BE,BELGIUM,160800,6303790,510110,20998729
CN,CHINA,150521,9963451,1771966,114566741
FI,FINLAND,500,24547,500,24547
DE,GERMANY,0,0,100426,4907406
HK,HONG KONG,0,0,100,15301
IN,INDIA,0,0,3400,337870
ID,INDONESIA,17000,1241861,130722,10050906
IL,ISRAEL,0,0,45240,2998320
IT,ITALY,0,0,60,41728
JP,JAPAN,361370,21493229,2804592,176390579
KR,"KOREA,REPUBLIC OF",618350,22797176,6521450,242134622
MY,MALAYSIA,53588,4799491,1690700,70232024
MX,MEXICO,0,0,6800,603838
OM,OMAN,297000,8750529,717750,19891872
SA,SAUDI ARABIA,1672500,49975100,10915630,323560319
SG,SINGAPORE,648540,21743506,5122568,180924896
ZA,SOUTH AFRICA,50,10278,123800,3239896
ES,SPAIN,0,0,16575,1355766
TW,"TAIWAN, PROVINCE OF CHINA",775,53136,460712,18487218
TH,THAILAND,0,0,40250,1655352
AE,UNITED ARAB EMIRATES,49500,1388230,718875,21972887
US,UNITED STATES,2520,212278,275387,18417410
VN,VIETNAM,0,0,16600,558380
SUM,SUM,4033015,148758695,32016839,1234850641
