"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2013', 'Quantity')","('Apr 2013', 'CIF (Baht)')","('Jan - Apr 2013', 'Quantity')","('Jan - Apr 2013', 'CIF (Baht)')"
AU,AUSTRALIA,28000,1772992,28000,1772992
AT,AUSTRIA,0,0,1375,103145
BE,BELGIUM,0,0,48000,4378407
CN,CHINA,3500,283557,91500,5274171
FI,FINLAND,2000,212052,9000,971941
IN,INDIA,0,0,72000,3975208
JP,JAPAN,201000,13664704,790000,57793233
KR,"KOREA,REPUBLIC OF",284000,17192132,1489000,91004645
MY,MALAYSIA,10000,703895,100000,6910564
SE,SWEDEN,180500,12958784,525400,38298087
TW,"TAIWAN, PROVINCE OF CHINA",11000,890913,33015,2709078
AE,UNITED ARAB EMIRATES,24700,1185840,150800,6873991
US,UNITED STATES,164753,9849967,537870,35985315
VN,VIETNAM,93300,5811171,195400,12282821
SUM,SUM,1002753,64526007,4071360,268333598
